Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
65,Random: 0.3,2.6458757713269443,0.2996664002501998,140.0,0.3030434782608696,0.13054658544979977,0.1691903659272622,0.3045939611049299,0.39566908751800806,0.2953894851187663,0.3021283925626599,0.299366336731228,0.2989489948818773
66,Prober 2,2.6455303556357164,0.6765759874444154,79.0,0.0,0.5179682495136186,0.15778551782064754,0.13585175283155057,0.18839447983418334,1.0,0.6633221379688947,1.0,0.5841669972062672
67,Hard Go By Majority,2.643891927798472,0.47621147490165433,128.0,0.0,0.3306889022668326,0.14636913754893172,0.20434499016691882,0.31859697001731685,1.0,0.6276641228662039,0.8970266765047645,0
68,More Tideman and Chieruzzi,2.6438326295248666,0.7936963757234063,14.0,1.0,0.7322396785171228,0.06395707877272992,0.06729192615645295,0.1365113165536943,1.0,0.12906193846287262,0.6634377999861742,0.07526257936966604
69,"EugineNier: (D,)",2.6437828627400615,0.792598653100903,10.0,1.0,0.7262110302060459,0.0670528615471772,0.0752136937907165,0.1315224144560603,1.0,0,0.7290660240288904,0
70,Meta Majority: 200 players,2.6417271439587893,0.8235289057863182,2.0,1.0,0.7391936101308301,0.08267607154290438,0.06545270648555872,0.11267761184070688,1.0,0.030849219502342873,0.9487063138773651,0
71,Bully,2.641496637462566,0.48527723830929365,117.0,0.0,0.12099782290667226,0.3610022615160944,0.34278389970456236,0.175216015872671,0,1.0,0,1.0
72,Fool Me Once,2.6413639485777622,0.7840921433940294,19.0,1.0,0.7259034428711466,0.05936034317785943,0.0858312689134989,0.12890494503749506,1.0,0.6387304395247102,0,0
73,Evolved ANN,2.6408919620610085,0.8376763297245897,12.0,1.0,0.760003991297727,0.07677982989941487,0.06917096850329923,0.09404521029955895,0.9843594214569766,0.727818538326973,0.5066900151150723,0
74,Hard Go By Majority: 20,2.640485450941551,0.46460616835771745,130.0,0.0,0.3249100700590556,0.14003158861958567,0.20185160002378533,0.33320674129757344,1.0,0.6310755512604197,0.8825487516184731,0
75,Tideman and Chieruzzi,2.637999383186772,0.768262724459287,23.0,1.0,0.7138954061737796,0.056241756203823504,0.07161250571231939,0.15825033191007767,1.0,0.018067502370144043,0.554807307371746,0
76,"General Soft Grudger: n=1,d=4,c=2",2.637957099960035,0.8108982571648202,23.0,1.0,0.7261079758868856,0.08365423198023944,0.07286067264916313,0.11737711948371195,1.0,0.3165702416000569,0.2745756322574635,0.28069315194649286
77,PSO Gambler 2_2_2,2.637006626975833,0.8073676401515317,17.0,1.0,0.7162888326830026,0.0905152031136126,0.09732974924752048,0.0958662149558642,0.9435799500289485,0.586121488604143,0.509047316330712,0.38662558495186694
78,Inverse,2.636496277664642,0.7582597702652629,27.0,1.0,0.697228998783452,0.06027336716267563,0.0758748235271347,0.16662281052673752,0.9643376699963389,0,0.5495682642286225,0
79,Meta Majority Finite Memory: 86 players,2.636213860920704,0.8183534315135979,6.0,1.0,0.736085958081288,0.0828710155678975,0.06616851966914146,0.11487450668167312,0.9999156704935496,0.15749656041911145,0.8880482537924898,0
80,PSO Gambler 2_2_2 Noise 05,2.6345798825796845,0.8152607114514202,16.5,1.0,0.7211612735920416,0.09425442660288072,0.09054518632500634,0.09403911348007128,0.9003373632929919,0.5123003399473485,0.7177043230957796,0.36396045436511454
81,ThueMorse,2.634025090644819,0.4996012549514495,111.0,0.0,0.21023011594885185,0.28935388358232333,0.294385366387576,0.20603063408124883,0.3696957440751987,0.43734305552441244,0.75973957523518,0.7666722963057222
82,Borufsen,2.6337898190055835,0.8581825607869719,1.0,1.0,0.7708995151378006,0.08881855353606433,0.05272196459011442,0.08755996673602073,0.999832117609623,0.13933318196638877,0.9566995136463461,0.24176784709638618
83,Adaptive Tit For Tat: 0.5,2.633466725698973,0.8243886312822432,0.0,1.0,0.7382585660720982,0.08545490620480005,0.06532410628984378,0.11096242143325787,1.0,0,1.0,0
84,Desperate,2.633279540662772,0.3395105880312981,122.0,0.49917391304347825,0.0903949306260178,0.24907132899925813,0.3387985751700661,0.321735165204658,0,0,0,1.0
85,"Alexei: (D,)",2.63324232657547,0.825680473372781,0.0,1.0,0.7394450288956672,0.08528364231390823,0.06553300210579525,0.10973832668462924,1.0,0,1.0,0
86,Tit For Tat,2.633062008107907,0.8236590295911375,0.0,1.0,0.7396300675622636,0.08473364187562953,0.0651815858447086,0.11045470471739827,1.0,0,1.0,0
87,Hard Go By Majority: 40,2.631743302150073,0.4704860584690956,128.0,0.0,0.3272292748987107,0.1460997648958925,0.20400330025268543,0.3226676599527114,1.0,0.6432459980788497,0.8922487110498167,0
88,Predator,2.631724309166635,0.2030827652588969,149.0,1.0,0.126654380611578,0.07814914697623891,0.3049391311350236,0.49025734127715953,0.45481600655857335,0,0.202425108012085,0.11562230487473649
89,PSO Gambler Mem1,2.631515219415416,0.7984799301237175,20.0,1.0,0.7195339088113476,0.0782474599973093,0.08523478449290209,0.11698384669844106,1.0,0.5263296495003144,0,0.12899633790139559
90,Resurrection,2.6312461563193668,0.812355336663128,2.0,1.0,0.7318504732700698,0.08378210693881218,0.06785130307944395,0.11651611671167407,1.0,0,0.9547538644840614,0
91,Hard Go By Majority: 5,2.6309736788117277,0.47751235407090914,129.0,0.0,0.3333758099312272,0.14413947080539002,0.2028815063165538,0.31960321294682903,1.0,0.5636594965045779,0.889042065934447,0
92,Meta Majority Long Memory: 114 players,2.630260947942758,0.8220853801374054,2.0,1.0,0.7394647940278214,0.08394849159052024,0.0646836955791082,0.11190301880255016,0.9990693230329226,0.06744363468385996,0.9500980163176048,0.014413341274568194
93,Two Tits For Tat,2.630148543287491,0.737453312153866,35.0,1.0,0.6884155714806013,0.051360830989794076,0.07627834156001516,0.18394525596958938,1.0,0,0.35906162004829356,0
94,Forgiving Tit For Tat,2.629471668187012,0.8266209814020274,0.0,1.0,0.7397509439396843,0.08529178901386932,0.06422451948357646,0.1107327475628699,1.0,0.2508475075807748,1.0,0
95,Contrite Tit For Tat,2.6287933853799768,0.8225076942498813,0.0,1.0,0.7373003249323874,0.08602264046124689,0.06591877896872224,0.11075825563764359,1.0,0,1.0,0
96,EasyGo,2.628573544804937,0.7108217900325159,87.0,0.0,0.38467359281096597,0.3249288856448165,0.21050096511794159,0.07989655642627602,1.0,1.0,0,1.0
97,Shubik,2.628009627541875,0.7921401907018683,11.0,1.0,0.7294313873566167,0.06306022177557542,0.06465208022099635,0.14285631064681145,1.0,0,0.7321418322164268,0
98,Hard Go By Majority: 10,2.627923352255115,0.44692691246725896,134.0,0.0,0.3227748216465061,0.12416226811290061,0.1945958648324527,0.35846704540814056,1.0,0.6073907006002272,0.8600020153245386,0
99,"Feld: 1.0, 0.5, 200",2.6272834247098027,0.7772360529835612,19.0,1.0,0.6819314532278808,0.0946622173182887,0.08773352970767628,0.1356727997461541,0.979050525262301,0,0.9633164178361046,0
100,Fool Me Forever,2.6270515972635273,0.711598624002077,87.0,0.0,0.385321441930995,0.3247902688870198,0.21081872126380855,0.07906956791817668,1.0,1.0,0,1.0
101,CollectiveStrategy,2.6256992268471238,0.11558255367546769,176.0,1.0,0.09189826992199365,0.02442761476145055,0.30915972857409835,0.5745143867424576,0.3282143645728158,0,0,0.18333095470286154
102,Doubler,2.6253952065350736,0.8374351195903766,0.0,1.0,0.7535030191834946,0.08647603531295517,0.05592738539605571,0.10409356010749442,1.0,0.5964772031367354,1.0,0
103,Meta Majority Memory One: 35 players,2.6247877611563446,0.7943914755257723,14.0,1.0,0.7246634554520955,0.06998842496303499,0.06392768414718206,0.1414204354376874,0.9928955483705886,0.04043143871957006,0.8069660257007498,0.013297938369343431
104,Harrington,2.6240392484722355,0.8587183684842996,2.0,1.0,0.7616232537872036,0.09702505044904332,0.05393223316734159,0.08741946259641153,0.9961277785830468,0.4205847999985465,0.9936908537819343,0.2798886540594294
105,Win-Shift Lose-Stay: D,2.622872090951611,0.5487186880204101,113.0,0.0,0.22699040444111612,0.3201945175839532,0.28840518475321797,0.16440989322171268,0,1.0,1.0,0
106,MoreGrofman,2.618895910082098,0.8269893330197268,12.0,1.0,0.7652974855407098,0.06467244878150422,0.05281557984362924,0.11721448583415689,0.9876185677936132,0.5991031819056996,0.5329883574516245,0.08640102136565818
107,Soft Joss: 0.9,2.618864347404909,0.848275653122349,0.0,1.0,0.7584207226909762,0.09032249215811451,0.05477143875623901,0.09648534639467024,1.0,0.10151526525488229,1.0,0.11208785354184972
108,Worse and Worse 2,2.6182002657056866,0.8139822554019974,7.5,1.0,0.7116865446187635,0.10428656686510335,0.0775022638832091,0.10652462463292409,0.9587797368336965,0.42177574970137044,0.7828337815102561,0.42659879708344167
109,Thumper,2.615675973012866,0.7587792678381026,21.0,1.0,0.7040670826807289,0.05707997852960044,0.06480583366289709,0.17404710512677346,1.0,0,0.5810692755265207,0
110,Revised Downing: True,2.615386335541527,0.8367929536889562,13.0,1.0,0.7592928206101085,0.07631713172094655,0.05880656459322964,0.10558348307571537,0.9974903788521039,0.7947621717679018,0.006172839506172839,0.29509724441025403
111,Soft Go By Majority: 5,2.6137106809729813,0.8435482053548985,9.0,1.0,0.7489053766265188,0.09431630953208257,0.0585623306528209,0.0982159831885778,1.0,0.6780549620491634,0.6338829254685224,0
112,Worse and Worse 3,2.613654244063989,0.8196187880534954,15.0,1.0,0.7334669924078296,0.08963725068029899,0.06197541709075271,0.11492033982111867,0.9145137681003097,0.4609454397380886,0.5949585421496807,0.3739780229368619
113,GTFT: 0.1,2.612904744332841,0.8482100615044945,0.0,1.0,0.7558413455777565,0.09184405852589199,0.05562823983511707,0.09668635606123444,1.0,0.09767876596545873,1.0,0.10741984003631914
114,SolutionB5,2.6113437567374076,0.4073341541578253,144.0,0.0,0.2925513352514546,0.11359893308424188,0.1988960407248144,0.39495369093948896,1.0,0,0.8683522277581053,0
115,Nice Average Copier,2.610377164536639,0.8189835653721345,14.0,1.0,0.7320626421527396,0.09022027119217033,0.06226044519801029,0.11545664145707973,0.9142915872960742,0.4796809234534288,0.5954629363012467,0.3940489603442066
116,Tranquilizer,2.6094100734513788,0.8218808522898414,14.0,1.0,0.7226087682559131,0.09907996321832445,0.06472776754453796,0.11358350098122431,0.9686777054632236,0.5402793921895344,0.9884526485041457,0.4159377406061867
117,Average Copier,2.609139411210295,0.6809556720060889,63.5,0.4984782608695652,0.5498087290401229,0.12952622571533168,0.12221683729582339,0.19844820794872203,0.8952529570983744,0.4684721233903922,0.7898902338052062,0.33118565385221344
118,Gradual,2.607973889220035,0.8835533266407438,5.0,1.0,0.7844076942361812,0.09988695829113164,0.047225269255439614,0.06848007821724751,1.0,0.3282514191724768,0.6578404552298805,0.5678941820374851
119,TF2,2.606879808514357,0.31384935511909884,143.0,1.0,0.22439770036568768,0.09118006265873747,0.2629444514400148,0.4214777855355601,0.29754092724432507,0,0.681376115281839,0.10250216036538548
120,Soft Go By Majority,2.6056279891154555,0.8566101885535576,9.0,1.0,0.7549171061874059,0.10167521279545408,0.05232681636292465,0.0910808646542154,1.0,0.7555663062155753,0.7516849727628822,0
121,Soft Go By Majority: 40,2.6052610837255625,0.855380287785351,8.0,1.0,0.7546407954747965,0.10126849418320727,0.05259934279200322,0.09149136754999292,1.0,0.6788359158314012,0.7177153959381998,0
122,Kluepfel,2.6043221972734862,0.8358278358669483,6.0,1.0,0.7579285420620538,0.07845701167185945,0.0498730931552117,0.11374135311087501,0.977141507658263,0.3531423800601031,0.7237751140876026,0.10300531373709464
123,"ZD-GTFT-2: 0.25, 0.5",2.6041051929666414,0.8646451813632711,0.0,1.0,0.7611896238841115,0.10176016174326019,0.052346034971328705,0.0847041794012997,1.0,0.12297888611697619,1.0,0.2757387719852698
124,"Bush Mosteller: 0.5, 0.5, 3.0, 0.5",2.6019061790654803,0.4088743104479959,118.0,0.5023043478260869,0.21774933166477373,0.19170002022091673,0.2673679232231727,0.3231827248911369,0.506539331776227,0.34010850967524037,0.3801234636555512,0.3913908644208293
125,Forgetful Fool Me Once: 0.05,2.6017532993579806,0.8249603292238478,14.0,1.0,0.7474209725659893,0.07635965529556642,0.06711602022537758,0.10910335191306668,1.0,0.6797043406349024,0.057963369732521045,0.05626228861227832
126,Remorseful Prober: 0.1,2.6016044337418913,0.6634895261216517,57.0,1.0,0.541544654144395,0.12312597319932048,0.1433861260635182,0.1919432465927662,0.9002832162678741,0,0.9034061819471444,0.3042391882122391
127,Soft Go By Majority: 10,2.600548646800478,0.8609240434689142,7.0,1.0,0.7660877404273522,0.09686077080238156,0.0456757180091481,0.09137577076111829,1.0,0.6818145730367366,0.6938502657923344,0
128,Eatherley,2.600497099977974,0.8879318292570495,0.0,1.0,0.7858081202422625,0.10017437838384617,0.03587645064894118,0.0781410507249501,1.0,0.4946749375722761,1.0,0.3063734620275969
